	prefix	input_text	target_text
272	272	hương lối chân quê đông chiều dòng	1755
273	273	hương chiều vương nắng	2067
274	274	gió núi nắng	2287
275	275	lá trăng	1827
276	276	mái bờ tre tiếng trưa	1167
277	277	gió đêm	2144
278	278	gió chiều lá nắng	2073
279	279	tiếng rừng	1121
280	280	trăng mưa chiều vương dòng	2205
281	281	bờ môi	1911
282	282	hạt mưa tiếng mắt	957
283	283	trăng đêm quê làng	249
284	284	sân chùa lá	762
285	285	rừng hoa	2251
286	286	thuyền sông chân thơ	2078
287	287	mây sông làng sóng phố	2569
288	288	bờ gió biển sóng	726
289	289	mây chân	1032
290	290	bờ sông trăng thơ dòng	1225
291	291	đêm mưa tiếng lá	596
292	292	chân đêm tiếng	1941
293	293	đường nắng	174
294	294	lúa hương bờ chim nắng tiếng	1439
295	295	mưa chiều nắng	548
296	296	lúa cánh mắt	1774
297	297	mây sông vàng dòng nắng	613
298	298	vườn bến chiều	1804
299	299	hương vườn trăng	72
300	300	núi hoàng_hôn chiều phố nắng	2310
301	301	núi sông đò sóng	1126
302	302	đời đất_trời	291
303	303	hoa lối mây	441
304	304	hè duyên chiều	829
305	305	tóc dáng bến	723
306	306	hương đường quê	2085
307	307	cánh vườn cò nắng	212
308	308	rừng cõi núi	908
309	309	quê bóng chiều	521
310	310	tóc mùa mưa nắng trưa mắt	1891
311	311	hương hè đời nắng	1361
312	312	tiếng chùa đêm	1646
313	313	sương bóng	826
314	314	núi sông duyên	1771
315	315	lối mắt	312
316	316	đời gió	1250
317	317	hồn chiều	1073
318	318	biển đông sóng	2420
319	319	đông chiều	1714
320	320	gió thuyền sông dòng mưa trầu mắt	2103
321	321	sông dòng	917
322	322	trăng tiếng vàng	987
323	323	sương núi mây	1825
324	324	tóc vai tre	1036
325	325	bờ đời trăng	217
326	326	núi sông đò	1126
327	327	đê sông quê nắng	141
328	328	đêm mưa	627
329	329	lúa cánh hè cò quê hồn	982
330	330	lúa làng vàng	745
331	331	cánh sông chim quê_hương dòng	2543
332	332	xuân cỏ lá	1097
333	333	hương nắng miền	1813
334	334	mái sương đêm	206
335	335	hoa sắc mùa	1513
336	336	hoàng_hôn bóng quê chiều vàng	1747
337	337	đêm sóng miền	589
338	338	hoa đời	381
339	339	gió nắng	2101
340	340	đất_trời gió hồn	535
341	341	gió trưa nắng	1169
342	342	hồng hương phượng chiều	1602
343	343	hoa cánh gió đêm trăng	866
344	344	hoa trăng vàng	1128
345	345	cánh gió biển tiếng quê_hương	2463
346	346	sông trăng đường vầng	2135
347	347	chùa mùa làng tiếng	1171
348	348	gió màu phượng biển phố	2033
349	349	hương hoa	445
350	350	đêm mưa tiếng lá	596
351	351	gió mùa	611
352	352	hồng hoa	1368
353	353	gió xuân tiếng đất_trời mắt	1665
354	354	bờ sông môi trầu	1897
355	355	bóng môi	840
356	356	bờ chùa mùa tre	638
357	357	quê sân quê_hương làng	1863
358	358	đường quê hương	2085
359	359	đường mùa mưa trưa nắng	2398
360	360	hương trăng sóng	315
361	361	bờ tre tiếng	1191
362	362	rừng cõi núi	908
363	363	lối dáng	1980
364	364	trăng sóng nắng	1578
365	365	hương sắc sông trăng đêm	2578
366	366	núi chân	1043
367	367	dáng mây tiếng	2086
368	368	gió sương	950
369	369	bóng chiều	2171
370	370	cõi bến biển	2437
371	371	sương lá	98
372	372	sông quê diều bóng vương	1319
373	373	gió làng mưa	481
374	374	vườn chim chân đường	2005
375	375	gió thuyền đường chiều lá	1002
376	376	đường quê bóng chiều nắng	618
377	377	lưng núi biển sóng lá	2510
378	378	môi tre nắng	1727
379	379	sông quê	892
380	380	thuyền sông bến đò	1824
381	381	hè trưa tre	1175
382	382	đêm đường	1472
383	383	rừng mây	2478
384	384	hoa thơ	2267
385	385	phượng cỏ	2043
386	386	hồn biển sóng	1982
387	387	rừng vàng lá	247
388	388	lúa sông ruộng mùa vàng nắng	1407
389	389	đêm biển chiều sóng	1758
390	390	dáng quê	2116
391	391	hồng hương phượng duyên chiều	1602
392	392	đất_trời làng	935
393	393	đường dòng bến	1868
394	394	quê sông dòng	1307
395	395	hồng hạt xuân tiếng chim	511
396	396	lá đời xuân	2128
397	397	mái lá mắt	2481
398	398	quê hoa	633
399	399	mưa vàng lá	2345
400	400	núi đêm biển vầng	2552
401	401	hoa xuân vườn môi mắt	1677
402	402	xuân bóng lá	1173
403	403	hương xuân sân	1662
404	404	áo duyên hoàng_hôn cỏ	1299
405	405	đò tiếng	1709
406	406	hoa xuân làng	1606
407	407	hương hoa sương đêm đông	545
408	408	lưng cánh vàng	2571
409	409	mùa lá	1316
410	410	vườn đêm xuân	2565
411	411	trăng đêm quê bóng	1318
412	412	hương xuân	869
413	413	hè cánh	737
414	414	sông bờ dòng chiều	2172
415	415	lối vườn tiếng sân vàng	1529
416	416	bến đò tiếng dòng	186
417	417	sông vàng	1781
418	418	đêm nắng	42
419	419	trăng sóng mắt	1578
420	420	hoa cau vườn	592
421	421	bóng vườn trăng	2283
422	422	gió mưa	1190
423	423	thềm hoa bóng mùa quê_hương	955
424	424	hạt sắc chiều	1862
425	425	hoa mùa phố	1883
426	426	áo ruộng mùa nắng	2501
427	427	bóng vai	1432
428	428	hương đê cát lối sông	999
429	429	hương hạt sông đường	949
430	430	lối tre lá nắng	1800
431	431	hương vườn	696
432	432	xuân núi tiếng	1096
433	433	đường bóng chiều nắng	618
434	434	hồng chim	1579
435	435	vườn đêm	2565
436	436	cánh chiều mây bến	384
437	437	hương hạt trăng làng nắng mắt	1801
438	438	hoa màu tóc đất_trời	580
439	439	xuân núi tiếng	1096
440	440	tiếng chim	347
441	441	mùa xuân	2536
442	442	bến trăng vầng nắng	1974
443	443	trăng đêm vầng	1280
444	444	xuân mùa tiếng nắng	2546
445	445	vạt tóc nắng	1501
446	446	sương mắt nắng	1817
447	447	lối mắt	1264
448	448	thuyền tiếng	171
449	449	màu quê vàng	1419
450	450	mây sông bến bóng chiều	909
451	451	cánh nắng diều chiều tiếng miền	21
452	452	thuyền sóng	120
453	453	bến mưa sóng	2032
454	454	thềm hoa xuân đường nắng	1667
455	455	áo tiếng	2218
456	456	đời quê hồn	772
457	457	màu đất_trời	803
458	458	mây màu	2034
459	459	gió xuân tiếng mắt	1665
460	460	tiếng núi thơ	1882
461	461	cánh chiều	2241
462	462	hoa chân cỏ	2246
463	463	nắng đường mùa sóng	1656
464	464	mái bến	1555
465	465	cau vườn diều mùa chiều lá trầu	2503
466	466	làng tiếng	1925
467	467	hương gió tóc mây đất_trời cỏ	2254
468	468	mây đường	2060
469	469	cát trăng biển sóng	1260
470	470	hương gió mây bờ sóng	646
471	471	sông duyên đò vàng	963
472	472	tóc lối cỏ nắng	2059
473	473	hương đê sông ruộng	1179
474	474	sông thơ	181
475	475	sương trăng	1081
476	476	hương gió sông ruộng	1179
477	477	thềm sắc màu lá	2373
478	478	hương chim quê nắng	2176
479	479	cánh gió sông bờ bóng diều chiều	1154
480	480	đời quê_hương	2203
481	481	trăng đêm	2069
482	482	làng chiều nắng	509
483	483	đời nắng	790
484	484	áo lối bờ sóng	27
485	485	lưng đường vai	2140
486	486	tóc màu chiều	1445
487	487	lưng sóng	1429
488	488	sương sông bến	2261
489	489	bóng núi sông	1605
490	490	hoa mây đường	1948
491	491	hương hoa tóc chiều vương vàng nắng	1195
492	492	bến sóng	2130
493	493	cỏ dáng	1206
494	494	hương sông mưa mắt	1237
495	495	gió xuân mây mắt	1933
496	496	cỏ sông	882
497	497	cánh sông bờ bóng diều chiều tiếng	1154
498	498	hương lối mùa	2257
499	499	mái trăng vầng quê_hương hồn	679
500	500	cánh trăng diều	2190
501	501	trầu môi	1208
502	502	mái sương đêm	206
503	503	gió dòng	1067
504	504	lúa hương hạt trăng nắng mắt	269
505	505	hương hoa mùa tiếng cỏ	411
506	506	xuân đường quê vàng nắng	1671
507	507	hoa lưng sương chiều vương	2333
508	508	gió đời thơ lá	1515
509	509	lưng làng mưa chiều tre lá	116
510	510	màu sông dòng	2097
511	511	đê bờ chân hoàng_hôn bóng	1349
512	512	đêm sóng	95
513	513	thuyền sông đò tiếng	1824
514	514	trăng đêm	2169
515	515	sông chim	1579
516	516	phố đêm	690
517	517	đêm thơ diều	166
518	518	hè xuân	2052
519	519	hoa xuân mùa	1265
520	520	sông quê diều tiếng	657
521	521	lưng đêm mưa tiếng trầu	1041
522	522	cau trầu hồn	1739
523	523	biển chiều	454
524	524	mưa chiều	2469
525	525	gió màu phượng biển phố	2033
526	526	xuân núi sông mùa	853
527	527	sông ruộng cò quê nắng	370
528	528	gió vườn	261
529	529	cánh cò tiếng trưa	1114
530	530	hoa xuân	209
531	531	tiếng áo mưa	2498
532	532	hồng thơ vàng	1651
533	533	cò bóng đông chiều	1585
534	534	mắt duyên xuân	2120
535	535	hương hoa sắc xuân hè lá nắng	786
536	536	cánh trăng	652
537	537	bến mùa chiều	298
538	538	núi bóng	1107
539	539	cánh thuyền sông bến bóng	2383
540	540	đất_trời lá tiếng gió	276
541	541	sông bến	1876
542	542	quê mây	2516
543	543	đê cánh cõi dáng cò	1624
544	544	đời biển sóng	2245
545	545	sân trăng thơ mưa	1845
546	546	núi tiếng	1043
547	547	lưng áo mưa lá trưa	3
548	548	rừng cánh gió tóc chiều lá	1398
549	549	lúa lưng áo lối	119
550	550	lúa hương hạt trăng quê mắt	269
551	551	đêm mắt	1414
552	552	bóng quê	1683
553	553	sông quê	892
554	554	cát chân đêm biển	2484
555	555	gió hè đêm	387
556	556	đê chân	1600
557	557	hương vườn miền	2548
558	558	mùa lá	1316
559	559	hoa thuyền xuân hè đời bến sóng	1127
560	560	hè sân chân bờ tre vàng nắng	738
561	561	vườn bờ thơ	1386
562	562	cỏ mùa xuân	1322
563	563	màu phố hồn	2065
564	564	cánh quê diều lá	1885
565	565	thuyền sông trăng biển quê sóng dòng	1353
566	566	hồng hoa xuân chim mưa nắng	427
567	567	chiều tiếng phố	283
568	568	gió cát đời hồn	1899
569	569	hương hoa quê đường cỏ vương	77
570	570	hoa gió mây nắng	2210
571	571	cánh gió cò dòng nắng	192
572	572	vạt áo chân hoàng_hôn bóng chiều hồn	664
573	573	màu áo	1042
574	574	áo mái	927
575	575	dáng sông quê	22
576	576	cau tóc vườn mây quê_hương	1556
577	577	vàng gió trăng	1342
578	578	hương gió quê	474
579	579	hoa thuyền xuân chân đò mùa miền	1756
580	580	núi sông	2127
581	581	phố mùa	979
582	582	cánh chim đêm	637
583	583	sông xuân	222
584	584	lúa hè tiếng vàng	438
585	585	hoa mái xuân hè chùa	817
586	586	hương vườn	72
587	587	hoàng_hôn nắng hồn	393
588	588	mùa đông mưa chiều	1946
589	589	lúa hương xuân ruộng	1157
590	590	tóc vàng vai	2467
591	591	hạt gió nắng	2415
592	592	gió sương đường	876
593	593	gió thuyền chân trăng	1867
594	594	mùa làng tiếng	1171
595	595	gió xuân mùa	2180
596	596	hè đời tiếng quê_hương	1060
597	597	cánh dáng hoàng_hôn bóng	1178
598	598	hương phố	621
599	599	bờ sông chiều phố	975
600	600	thềm mây sương nắng lá	306
601	601	cau đời đêm cò trầu	101
602	602	hồng hương thềm mây mùa môi nắng	1634
603	603	sông bến quê	1499
604	604	trăng đêm làng vàng	316
605	605	bóng mây biển nắng	458
606	606	mây sóng	742
607	607	hoa xuân	809
608	608	hoa màu quê mưa dòng nắng	2526
609	609	mưa chiều trưa nắng	1131
610	610	lối hoa	422
611	611	mây sông vàng dòng	613
612	612	tiếng hương chim	1014
613	613	hoa dáng	2535
614	614	gió đường chiều vàng lá nắng	1308
615	615	áo ruộng mùa	2501
616	616	thơ chùa làng lá	2131
617	617	đường đêm	667
618	618	vàng trầu	2071
619	619	áo hè bóng	658
620	620	hoa xuân trăng vầng	1940
621	621	hoa sông đường quê_hương	996
622	622	gió bóng lá quê_hương	941
623	623	xuân phượng sông đời bến đò	382
624	624	gió mưa	1440
625	625	quê tre	1162
626	626	rừng gió chiều	1789
627	627	cánh biển mưa	2361
628	628	đất_trời gió tiếng vàng lá	276
629	629	thơ quê diều	150
630	630	núi sông duyên	1771
631	631	đời vàng	1861
632	632	hương gió núi miền	2096
633	633	cõi đê đời quê làng hồn	196
634	634	mây gió	1303
635	635	hồng hoa xuân bóng nắng	2506
636	636	hương biển đường sóng	230
637	637	biển sóng	253
638	638	sân mùa	185
639	639	bờ trăng vai	1943
640	640	đê bờ trăng duyên	1193
641	641	cánh đường bóng chiều quê_hương	1372
642	642	gió tóc	970
643	643	gió cánh hoa đêm trăng	866
644	644	xuân bóng mùa nắng	2545
645	645	bóng trưa tre	1175
646	646	vai nắng	792
647	647	sông trăng thơ dòng	1225
648	648	sông dòng quê_hương trưa mắt	1004
649	649	sương mùa cỏ miền	912
650	650	cánh mưa nắng	2361
651	651	tiếng chim	347
652	652	hoa sắc sóng đất_trời vàng	1189
653	653	thuyền chiều	399
654	654	đê áo bờ mưa cỏ	1437
655	655	đò sông bến	1876
656	656	xuân mây mưa chiều	1680
657	657	đê chân hoàng_hôn quê bóng	1349
658	658	vạt gió mây đông	1352
659	659	áo chiều vàng nắng	1768
660	660	gió môi mưa hồn	1105
661	661	phố duyên	2483
662	662	lối mây bóng mắt	1548
663	663	sân bóng quê_hương	887
664	664	mùa cỏ miền	2336
665	665	lối chân	656
666	666	bóng mây rừng	1037
667	667	áo mây đất_trời	2023
668	668	hương hạt trăng quê nắng mắt	269
669	669	quê dáng quê_hương chiều	778
670	670	màu phố	2065
671	671	chiều tiếng phố	283
672	672	hồng hoa sông trăng sóng quê_hương dòng	2462
673	673	tiếng miền	610
674	674	cỏ mưa	801
675	675	hoa đời	2583
676	676	hương sông	557
677	677	bóng trăng	2455
678	678	sông đường quê mưa	808
679	679	cánh trầu	569
680	680	cánh gió mưa	163
681	681	đông chiều	1181
682	682	cõi màu đời trăng chiều	173
683	683	hoa mùa mắt	1277
684	684	sương đường	876
685	685	đê bờ quê diều sóng tiếng	1990
686	686	trăng xuân	1568
687	687	cánh quê diều quê_hương	1241
688	688	thềm gió bờ tiếng	612
689	689	hoa đê	863
690	690	dáng sương trăng vàng	449
691	691	hoa phố	861
692	692	vạt thuyền sóng miền	57
693	693	vầng trăng nắng	1913
694	694	cánh xuân chiều biển bóng diều sóng nắng	1660
695	695	biển mắt	1583
696	696	sương mưa lá	647
697	697	đê cánh lối chân đò mưa mắt	852
698	698	mưa chiều	546
699	699	hương vườn quê vàng	380
700	700	gió vàng	1955
701	701	bờ đời trăng dòng	413
702	702	vạt gió mây nắng	1352
703	703	gió xuân đêm	2195
704	704	lá chiều	1844
705	705	hoa sương đêm đông	545
706	706	lúa đông lá	873
707	707	bờ trăng bến thơ vầng	402
708	708	đê thuyền sông quê nắng	141
709	709	hoa cau vườn	592
710	710	xuân mây tiếng	514
711	711	tóc sóng nắng	1501
712	712	dáng chân chiều	2299
713	713	hương tiếng phố	23
714	714	lưng đường vai	2056
715	715	hương hoa quê đường cỏ vương	77
716	716	làng chim	944
717	717	hồng núi bóng dòng	734
718	718	sương lá	98
719	719	cát trăng sóng	1260
720	720	cánh gió biển tiếng quê_hương	2463
721	721	gió cõi thuyền sông lá	2588
722	722	xuân chiều	2091
723	723	hồng cánh màu	1371
724	724	thuyền dáng núi biển hoàng_hôn bóng nắng	266
725	725	cánh phượng mùa mưa	88
726	726	hồng cánh chiều mắt	644
727	727	lối chân đường nắng	457
728	728	sông trăng bến	1421
729	729	mưa chiều	546
730	730	núi tiếng trăng	1904
731	731	đường hoàng_hôn chùa làng miền	590
732	732	lối sương bến trăng quê	1542
733	733	hương xuân áo mưa	2541
734	734	thềm núi bờ trăng duyên môi phố	1297
735	735	trăng quê	1995
736	736	mây đường	1948
737	737	đê đêm	1637
738	738	hương vườn quê vàng	380
739	739	hoa cánh	357
740	740	hoa đời trăng	2458
741	741	thềm núi hoàng_hôn	1642
742	742	lối chân quê tre mắt	926
743	743	đất_trời đêm	885
744	744	bóng mùa vai mắt	2122
745	745	sông đông mắt	1005
746	746	thềm màu sương	1803
747	747	cau đời cò trầu	101
748	748	rừng núi mây	2478
749	749	gió cánh quê trưa	1628
750	750	cát đời	1732
751	751	áo đời ruộng chân quê_hương	102
752	752	làng nắng	1209
753	753	cau chiều mưa	1433
754	754	chiều tiếng sóng	2514
755	755	đêm đất_trời	2488
756	756	sương đường mùa tiếng trầu	2242
757	757	hương vườn hè quê tiếng	390
758	758	sân quê miền	363
759	759	hoa bờ	2045
760	760	hoa bến nắng	1645
761	761	tiếng chim	1014
762	762	phượng miền	111
763	763	đời dòng nắng	355
764	764	đê bờ quê sóng tiếng	1990
765	765	hương đê gió sông ruộng	1179
766	766	cau chiều mưa	1433
767	767	gió tóc đông vai nắng	1716
768	768	thuyền trăng bến duyên thơ quê	579
769	769	sương mây hồn	85
770	770	rừng vàng lá	247
771	771	gió sương	603
772	772	gió tiếng	950
773	773	cánh vườn cò nắng	212
774	774	sân sương vàng lá	2325
775	775	rừng lưng chân	1934
776	776	núi đêm nắng	2471
777	777	trưa nắng	1638
778	778	nắng chiều	1690
779	779	cát sông dòng nắng	371
780	780	lưng chiều sông làng mưa lá	116
781	781	duyên nắng	1909
782	782	đường mùa chiều vai vàng nắng	2082
783	783	mái mùa lá trưa	2394
784	784	vườn sông đời sóng dòng	1821
785	785	trăng sóng nắng mắt	1578
786	786	hoa chùa mùa tiếng lá	1851
787	787	mái bờ quê tiếng trưa	1167
788	788	sông bến mưa chiều	877
789	789	vàng trưa nắng	423
790	790	hồng hoa sông sóng quê_hương dòng	2462
791	791	hương sông dòng	557
792	792	quê mây sông	2516
793	793	gió sông chân quê mùa tiếng	986
794	794	sương đời đất_trời dòng nắng	544
795	795	quê làng phố	258
796	796	tiếng vàng	18
797	797	quê làng tre	1354
798	798	áo vườn mây hồn	2226
799	799	mùa đông	1435
800	800	gió núi duyên mưa	1959
801	801	thuyền bờ bến miền	1203
802	802	gió đường quê nắng	702
803	803	chân gió làng	1809
804	804	hồng cánh thuyền sông	133
805	805	gió vầng lá	172
806	806	mây nắng trưa mắt	1997
807	807	đời vàng	1861
808	808	cõi biển hồn	971
809	809	hương sắc gió quê miền	1492
810	810	xuân áo bóng vàng phố mắt	2077
811	811	mùa xuân	2515
812	812	cánh hồn	920
813	813	hồn gió cánh phượng	2459
814	814	mây trăng đường hồn	947
815	815	hồng mùa đông chiều	551
816	816	núi sông đò sóng	1126
817	817	quê đời làng	389
818	818	lúa lối vườn sân vàng	1529
819	819	mùa nắng	2512
820	820	hạt mây ruộng làng mưa vàng	2306
821	821	hồng mùa đông chiều	551
822	822	hương cánh đường mùa đông vương	915
823	823	hoa xuân vườn chim môi mắt	1677
